Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
ts-config-service,ts-ticketinfo-service,config-server,ts-food-service,review-service,github-repository,scaffold-route-app,user-proxy,ts-contacts-service,scaffold-txmanager,ts-admin-order-service,ts-payment-service,product-proxy,eureka
ts-execute-service,monitoring,mail-server,ts-config-service,composite-service,kafka,scaffold-business-job-service,product-service,ts-notification-service,scaffold-config-server,ts-security-service,ts-station-food-service,review-service,ts-food-service
ts-station-food-service,ts-rebook-service,approval-service,ts-assurance-service,geocoderlocal-service,monitor-dashboard,scaffold-txmanager,category-service,qbike-trip,scaffold-business-thirdparty-service,ts-execute-service,ts-train-food-service,composite-service,scaffold-eureka
ts-verification-code-service,zookeeper,edge-server,ts-station-food-service,zuul-gateway,registry,scaffold-business-sys-service,security-service,ts-station-food-service,scaffold-business-sys-service,ts-admin-travel-service,ts-basic-service,recommendation-service,ts-food-delivery-service
ts-admin-travel-service,mail-server,turbine-server,ts-security-service,geocoderremote-service,rabbitmq,scaffold-config-server,product-proxy,ts-payment-service,github-repository,registry,gateway,product-service,ts-admin-route-service
benchmark-service,github-repository,auth-server,ts-consign-service,hystrix-dashboard,external-website,scaffold-route-openapi,auth-server,mail-server,zookeeper,rabbitmq,api-gateway,hystrix-dashboard,ts-register-service
account-service,ts-inside-payment-service,composite-service,ts-price-service,eureka-discovery,ts-route-plan-service,scaffold-route-operate,turbine,ts-security-service,ts-travel-service,monitor,config-service,apache,ts-admin-order-service
account-service,ts-travel-plan-service,review-service,ts-verification-code-service,eureka-server,ts-inside-payment-service,scaffold-business-thirdparty-service,order,ts-assurance-service,ts-seat-service,ts-register-service,microservice-api-gateway,postgres,ts-admin-basic-info-service
demo,qbike-intention,product-service,ts-food-service,kafka,ts-food-service,config-service,blog,ts-consign-service,ts-travel-service,discovery-service,ts-consign-price-service,mongodb,ts-consign-price-service
personal-info-service,uc,recommendation-service,ts-consign-service,github-repository,ts-seat-service,ts-food-service,catalog,ts-inside-payment-service,ts-station-food-service,ts-order-other-service,mail-server,gateway,ts-admin-travel-service
auth-server,qbike-order,microservice-api-gateway,ts-security-service,store,ts-food-service,ts-verification-code-service,apache,ts-food-service,ts-price-service,ts-order-service,configurator,discovery-server,ts-admin-route-service
mongodb,intention,task-webservice,ts-config-service,github-repository,ts-register-service,ts-consign-service,consul,ts-assurance-service,ts-train-service,ts-login-service,github-repository,discovery-service,mail-server
security-service,position,web-portal,ts-assurance-service,eureka,ts-inside-payment-service,ts-assurance-service,zookeeper,ts-security-service,github-repository,ts-food-service,zuul,gateway-service,ts-contacts-service
category-service,order,configserver,ts-payment-service,rabbitmq,rabbit,ts-security-service,apache,ts-consign-service,monitor,ts-admin-user-service,apache,registry,mail-server
monitoring,qbike-trip,user-webservice,ts-route-plan-service,zookeeper,zipkin,card-statement-composite,postgres,ts-verification-code-service,ts-travel2-service,ts-assurance-service,zookeeper,movie-catalog-service,ts-notification-service
customer-service,ts-travel-plan-service,auth-server,mail-server,scaffold-route-app,eureka,card-service,web-portal,ts-food-service,ts-basic-service,ts-contacts-service,apache,shipping,ts-config-service
store,ts-admin-basic-info-service,task-webservice,ts-consign-price-service,comments-webservice,api-gateway,statement-service,user-webservice,ts-train-food-service,mail-server,ts-admin-route-service,postgres,invoicing,ts-admin-basic-info-service
qbike-intention,ts-cancel-service,customer-service,ts-notification-service,zipkin,qbike-order,ts-travel2-service,api-gateway,ts-payment-service,ts-consign-price-service,ts-ticketinfo-service,ts-preserve-service,monitor-dashboard,ts-assurance-service
product-service,ts-food-service,gateway-service,ts-train-food-service,account-service,qbike-trip,mail-server,store,ts-consign-price-service,ts-seat-service,ts-food-delivery-service,config,ts-admin-user-service,ts-admin-order-service
order,ts-admin-travel-service,account-service,mail-server,customer-service,qbike-uc,qbike-trip,logstash,ts-food-map-service,ts-ticketinfo-service,registry,turbine,hotel-service,ts-price-service
position,zuul,repository-service,ts-food-map-service,discovery-service,ts-execute-service,turbine,statement-service,ts-consign-price-service,mail-server,serviceregistry,external-website,scaffold-config-server,ts-execute-service
intention,auth-server,scaffold-zuul,ts-basic-service,discovery-service,ts-admin-route-service,ts-route-plan-service,discovery-server,mail-server,ts-config-service,github-repository,qbike-order,demo,ts-payment-service
uc,ts-inside-payment-service,movie-info-service,ts-payment-service,scaffold-txmanager,ts-admin-order-service,gateway-service,recommendation-service,ts-route-plan-service,position,eureka,qbike-intention,category-service,ts-consign-service
user-proxy,ts-cancel-service,ratings-data-service,ts-route-plan-service,scaffold-business-thirdparty-service,ts-security-service,auth-server,product-service,ts-notification-service,qbike-uc,ts-consign-service,ts-cancel-service,product-service,ts-station-food-service
qbike-trip,ts-route-service,demo,ts-consign-price-service,user-webservice,ts-execute-service,product-proxy,review-service,ts-route-plan-service,qbike-intention,ts-notification-service,config-server,github-repository,ts-payment-service
qbike-order,ts-basic-service,ts-preserve-service,ts-admin-order-service,scaffold-business-job-service,ts-order-other-service,user-proxy,composite-service,product-proxy,intention,ts-train-food-service,ts-admin-route-service,hospital-manage-service,ts-user-service
scaffold-config-server,ts-route-plan-service,user-proxy,ts-admin-travel-service,web-portal,ts-order-service,config-service,monitor-dashboard,ts-cancel-service,order,ts-train-service,ts-rebook-service,security-service,ts-execute-service
hospital-manage-service,ts-food-service,scaffold-route-openapi,apache,scaffold-business-sys-service,ts-admin-order-service,config,auth-server,ts-admin-route-service,api-gateway,mail-server,ts-admin-basic-info-service,user-proxy,ts-train-food-service
repository-service,ts-admin-basic-info-service,ts-food-delivery-service,ts-admin-order-service,scaffold-route-operate,ts-admin-travel-service,external-website,config-server,scaffold-route-openapi,zipkin,ts-consign-price-service,ts-admin-route-service,position,ts-consign-price-service
api-gateway,github-repository,github-repository,ts-admin-route-service,repository-service,ts-ticketinfo-service,oauth,turbine-server,ts-preserve-service,uc,ts-payment-service,ts-food-delivery-service,intention,benchmark-service
recommendation-service,github-repository,scaffold-config-server,ts-admin-travel-service,scaffold-route-openapi,ts-login-service,reminder,edge-server,ts-travel-plan-service,ts-travel2-service,ts-price-service,ts-admin-travel-service,order,ts-verification-code-service
product-service,ts-route-plan-service,scaffold-route-operate,product-proxy,scaffold-eureka,ts-security-service,api-gateway,approval-service,zookeeper,ts-consign-price-service,ts-route-service,ts-admin-order-service,uc,ts-train-service
review-service,ts-security-service,monitor,ts-admin-route-service,api-gateway,ts-order-other-service,config-server,github-repository,github-repository,ts-basic-service,ts-assurance-service,gateway-service,authserver,qbike-order
edge-server,auth-server,github-repository,ts-travel-plan-service,demo,ts-notification-service,ts-execute-service,hospital-manage-service,ts-admin-route-service,turbine,ts-sso-service,mongodb,account-service,mail-server
web-portal,zipkin-tracing,ts-rebook-service,ts-cancel-service,qbike-trip,ts-food-delivery-service,ts-admin-route-service,gateway-service,ts-admin-travel-service,ts-price-service,ts-config-service,ts-travel-plan-service,movie-info-service,external-website
composite-service,github-repository,zookeeper,ts-execute-service,auth-server,ts-consign-service,ts-admin-travel-service,personal-info-service,ts-admin-order-service,ts-verification-code-service,mail-server,ts-execute-service,customer-service,rabbitmq
statement-service,edge-server,ts-admin-basic-info-service,auth-server,movie-info-service,ts-order-service,ts-travel-plan-service,mail-server,github-repository,postgres,ts-user-service,zookeeper,backend,github-repository
card-service,ts-contacts-service,ts-admin-user-service,ts-preserve-other-service,rabbit,ts-contacts-service,ts-admin-order-service,geocoderlocal-service,ts-execute-service,apache,ts-contacts-service,github-repository,ratings-data-service,zipkin-tracing
card-statement-composite,ts-train-service,github-repository,ts-preserve-service,github-repository,ts-admin-user-service,ts-rebook-service,hystrix-dashboard,ts-admin-travel-service,zookeeper,ts-station-food-service,github-repository,qbike-trip,postgres
monitor-dashboard,ts-security-service,mongodb,ts-food-delivery-service,qbike-uc,ts-consign-service,ts-admin-user-service,configurator,mongodb,github-repository,ts-station-service,zuul,qbike-intention,apache
ratings-data-service,ts-notification-service,ts-preserve-other-service,ts-admin-basic-info-service,qbike-order,ts-assurance-service,ts-preserve-service,mongodb,user-proxy,ts-payment-service,mail-server,user-proxy,personal-info-service,kafka
movie-info-service,scaffold-zuul,configurator,ts-rebook-service,webservice-registry,ts-admin-route-service,ts-cancel-service,zookeeper,ts-preserve-other-service,ts-inside-payment-service,ts-payment-service,product-proxy,qbike-order,zookeeper
user-webservice,monitor,auth-server,qbike-uc,eureka,ts-notification-service,ts-register-service,comments-webservice,ts-food-delivery-service,ts-config-service,github-repository,ts-preserve-other-service,ts-verification-code-service,shipping
auth-server,github-repository,gateway-service,ts-admin-user-service,logstash,ts-consign-price-service,ts-login-service,auth-server,ts-admin-basic-info-service,ts-train-food-service,eureka,auth-server,ts-station-food-service,order
api-gateway,scaffold-route-openapi,ts-execute-service,ts-travel-plan-service,ts-station-food-service,ts-user-service,ts-admin-basic-info-service,task-webservice,ts-rebook-service,ts-user-service,ts-station-service,ts-admin-travel-service,ts-notification-service,invoicing
user-webservice,scaffold-route-operate,ts-travel-plan-service,external-website,ts-train-food-service,discovery-server,ts-preserve-other-service,auth-server,auth-server,ts-contacts-service,microservice-api-gateway,config-service,rabbitmq,turbine
web-portal,scaffold-business-sys-service,config-server,scaffold-route-operate,mail-server,mail-server,configserver,demo,zookeeper,config,mysql,scaffold-route-app,ts-payment-service,auth-server
hotel-service,scaffold-business-job-service,ts-admin-order-service,scaffold-route-openapi,ts-consign-price-service,zipkin-tracing,configserver,scaffold-config-server,ts-admin-order-service,external-website,edge-server,ts-admin-order-service,ts-food-map-service,zuul
ts-train-food-service,scaffold-txmanager,ts-admin-travel-service,scaffold-config-server,mail-server,ts-train-food-service,ts-user-service,scaffold-route-openapi,config-server,ts-inside-payment-service,rabbit,ts-cancel-service,mail-server,github-repository
ts-payment-service,github-repository,ts-admin-route-service,scaffold-business-sys-service,monitor-dashboard,ts-station-service,ts-contacts-service,repository-service,uc,ts-payment-service,discovery-server,scaffold-business-job-service,external-website,store
ts-food-delivery-service,scaffold-business-thirdparty-service,github-repository,scaffold-business-job-service,ts-payment-service,api-gateway,ts-security-service,scaffold-route-operate,intention,configurator,discovery-server,scaffold-business-sys-service,zipkin-tracing,jhipster-registry
ts-consign-price-service,scaffold-route-app,movie-catalog-service,scaffold-business-thirdparty-service,auth-server,api-gateway,ts-inside-payment-service,web-portal,position,mongodb,eureka,ts-preserve-service,github-repository,blog
zuul,external-website,product-proxy,scaffold-txmanager,ts-station-service,ts-payment-service,ts-assurance-service,user-webservice,github-repository,ts-route-plan-service,hospital-manage-service,scaffold-config-server,github-repository,github-repository
github-repository,mail-server,turbine,configurator,edge-server,edge-server,ts-food-service,api-gateway,order,ts-notification-service,api-gateway,scaffold-route-openapi,auth-server,hystrix-dashboard
blog,ts-consign-service,ts-cancel-service,mongodb,discovery-server,discovery-server,ts-consign-service,comments-webservice,api-gateway,ts-security-service,discovery-service,scaffold-route-operate,edge-server,mail-server
turbine,ts-contacts-service,zipkin,config-service,hospital-manage-service,ts-station-food-service,ts-route-plan-service,task-webservice,zipkin,ts-consign-service,personal-info-service,github-repository,github-repository,personal-info-service
github-repository,ts-user-service,ts-admin-basic-info-service,ts-execute-service,ts-user-service,consul,ts-notification-service,zipkin-tracing,gateway-service,ts-food-service,api-gateway,ts-login-service,github-repository,edge-server
mail-server,ts-register-service,ts-register-service,qbike-intention,ts-train-service,zuul,github-repository,github-repository,movie-catalog-service,ts-assurance-service,consul,scaffold-txmanager,rabbitmq,auth-server
edge-server,ts-assurance-service,ts-rebook-service,zookeeper,personal-info-service,blog,monitor,movie-info-service,github-repository,ts-food-map-service,scaffold-zuul,movie-catalog-service,scaffold-business-sys-service,rabbitmq
auth-server,ts-consign-service,external-website,zipkin,api-gateway,mail-server,github-repository,ratings-data-service,config-service,ts-contacts-service,zipkin,ts-admin-user-service,scaffold-route-operate,microservice-api-gateway
mail-server,ts-price-service,qbike-intention,api-gateway,mail-server,logstash,zipkin,movie-catalog-service,github-repository,ts-notification-service,edge-server,github-repository,scaffold-zuul,qbike-uc
auth-server,microservice-api-gateway,github-repository,order,blog,edge-server,qbike-uc,discovery-server,scaffold-txmanager,ts-preserve-service,auth-server,github-repository,scaffold-route-app,mysql
ts-admin-route-service,qbike-uc,ts-preserve-service,position,discovery-service,monitor-dashboard,position,github-repository,scaffold-business-thirdparty-service,ts-admin-route-service,monitor-dashboard,config-server,scaffold-route-openapi,scaffold-route-operate
zookeeper,api-gateway,qbike-uc,intention,ts-config-service,monitoring,order,monitor-dashboard,scaffold-business-job-service,ts-admin-travel-service,github-repository,github-repository,scaffold-business-job-service,ts-consign-service
ts-consign-price-service,zipkin,uc,uc,monitoring,ts-food-map-service,qbike-intention,card-statement-composite,scaffold-business-sys-service,ts-admin-order-service,logstash,monitor,scaffold-business-thirdparty-service,ts-config-service
monitor,ts-admin-order-service,intention,github-repository,ts-route-service,scaffold-zuul,api-gateway,card-service,scaffold-config-server,ts-travel-plan-service,ts-consign-price-service,qbike-uc,scaffold-txmanager,ts-login-service
github-repository,ts-config-service,position,config,ts-price-service,hospital-manage-service,intention,scaffold-zuul,scaffold-route-operate,ts-rebook-service,ts-verification-code-service,scaffold-business-thirdparty-service,ts-admin-route-service,ts-notification-service
github-repository,ts-admin-route-service,order,github-repository,microservice-api-gateway,personal-info-service,uc,scaffold-business-sys-service,qbike-uc,ts-cancel-service,ts-train-service,config-service,github-repository,ts-food-map-service
ts-admin-user-service,ts-execute-service,ts-cancel-service,github-repository,zipkin-tracing,ts-config-service,admin,scaffold-business-job-service,monitor,ts-admin-basic-info-service,blog,gateway-service,ts-train-food-service,ts-admin-user-service
ts-food-map-service,ts-notification-service,ts-login-service,movie-catalog-service,ts-train-service,ts-route-service,github-repository,scaffold-business-thirdparty-service,turbine,ts-food-delivery-service,ts-route-service,uc,ts-payment-service,github-repository
github-repository,ts-station-food-service,api-gateway,ts-preserve-other-service,ts-verification-code-service,ts-price-service,github-repository,github-repository,apache,ts-execute-service,ts-config-service,ts-travel-plan-service,mail-server,monitor
github-repository,ts-price-service,config,ts-admin-basic-info-service,api-gateway,ts-train-service,ts-admin-basic-info-service,config,ts-travel-plan-service,ts-preserve-other-service,zuul,ts-execute-service,turbine,github-repository
scaffold-route-operate,ts-assurance-service,github-repository,ts-register-service,mysql,ts-verification-code-service,ts-admin-route-service,monitoring,ts-execute-service,ts-assurance-service,ts-food-map-service,intention,zuul,rabbitmq
scaffold-route-openapi,ts-config-service,ts-preserve-other-service,ts-rebook-service,ts-consign-price-service,ts-consign-price-service,ts-admin-travel-service,external-website,apache,ts-food-service,ts-price-service,position,auth-server,github-repository
scaffold-zuul,ts-admin-order-service,postgres,ts-preserve-service,discovery-server,mysql,ts-admin-order-service,mail-server,configurator,ts-consign-service,monitoring,order,blog,github-repository
scaffold-business-sys-service,ts-execute-service,apache,ts-cancel-service,ts-station-service,ts-station-service,ts-travel-plan-service,qbike-intention,ts-preserve-other-service,ts-security-service,zipkin-tracing,api-gateway,github-repository,repository-service
scaffold-business-job-service,ts-admin-travel-service,ts-admin-route-service,ts-login-service,scaffold-zuul,ts-payment-service,ts-food-delivery-service,microservice-api-gateway,ts-admin-basic-info-service,ts-route-plan-service,discovery-service,ts-rebook-service,store,rabbit
zipkin-tracing,ts-login-service,zookeeper,github-repository,consul,microservice-api-gateway,ts-execute-service,qbike-trip,ts-register-service,ts-admin-route-service,mail-server,zipkin,zipkin,scaffold-route-openapi
scaffold-business-thirdparty-service,ts-verification-code-service,ts-admin-travel-service,user-proxy,ts-payment-service,ts-train-service,ts-rebook-service,qbike-uc,ts-rebook-service,ts-admin-travel-service,ts-notification-service,ts-preserve-other-service,api-gateway,scaffold-zuul
scaffold-txmanager,mail-server,ts-admin-order-service,zookeeper,zipkin,mail-server,ts-preserve-other-service,mysql,ts-preserve-service,ts-admin-order-service,ts-consign-service,ts-admin-basic-info-service,ts-consign-price-service,scaffold-business-sys-service
ts-payment-service,ts-food-delivery-service,apache,apache,ts-sso-service,ts-sso-service,ts-cancel-service,uc,qbike-intention,ts-admin-user-service,github-repository,ts-register-service,qbike-uc,scaffold-business-job-service
zipkin,ts-payment-service,ts-travel-plan-service,postgres,mail-server,mail-server,ts-preserve-service,intention,postgres,ts-login-service,github-repository,mail-server,microservice-api-gateway,scaffold-business-thirdparty-service
api-gateway,ts-train-food-service,config-service,monitor,ts-contacts-service,ts-contacts-service,config-server,position,ts-cancel-service,ts-cancel-service,qbike-uc,ts-consign-price-service,ts-consign-price-service,scaffold-txmanager
qbike-uc,ts-consign-price-service,ts-execute-service,github-repository,ts-food-map-service,zipkin,github-repository,order,ts-login-service,ts-preserve-other-service,qbike-trip,configserver,zookeeper,zipkin
microservice-api-gateway,ts-payment-service,scaffold-business-sys-service,turbine,ts-config-service,ts-config-service,zookeeper,api-gateway,ts-admin-user-service,ts-rebook-service,qbike-order,config-server,mail-server,api-gateway
mail-server,ts-admin-route-service,scaffold-business-job-service,config-server,ts-assurance-service,ts-assurance-service,postgres,zipkin,github-repository,ts-preserve-service,scaffold-eureka,qbike-trip,ts-food-delivery-service,order
mail-server,ts-food-map-service,scaffold-business-thirdparty-service,github-repository,zuul,ts-route-service,apache,config-service,github-repository,ts-register-service,qbike-intention,eureka,mail-server,position
external-website,ts-admin-user-service,github-repository,github-repository,ts-route-service,ts-price-service,zookeeper,zipkin,config,ts-travel-plan-service,github-repository,scaffold-zuul,monitor,intention
github-repository,mail-server,scaffold-txmanager,gateway-service,ts-price-service,discovery-service,configurator,scaffold-txmanager,external-website,ts-execute-service,account-service,configserver,repository-service,uc
scaffold-route-app,ts-consign-price-service,scaffold-route-app,scaffold-route-app,edge-server,auth-server,mongodb,scaffold-route-app,scaffold-route-app,ts-admin-basic-info-service,customer-service,discovery-service,benchmark-service,scaffold-route-app
